,Name of Sandwich,Calories (kcal),Fat Calories (kcal),Fat (g),Saturated Fat (g),Total Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g)
"4"" Sub","Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",390,120,13,6,0,50,1010,44,2,9,23
"8"" Sub","Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",780,240,27,13,0,100,2010,88,4,19,47
"12"" Sub","Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",1170,360,40,19,0.5,150,3060,134,6,30,70
Sammie,"Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",390,140,15,6,0,50,1000,39,4,10,23
Half Salad,"Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",310,110,12,6,0,50,980,31,3,24,19
Full Salad,"Black Angus Steakhouse - with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",510,220,24,11,0,100,1510,37,5,26,37
"4"" Sub","Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",420,190,21,5,0,50,920,38,2,3,20
"8"" Sub","Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",840,380,42,11,1,95,1830,76,4,6,40
"12"" Sub","Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",1290,590,66,16,1,145,2780,114,6,10,60
Sammie,"Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",440,230,26,6,0,50,910,32,4,3,19
Half Salad,"Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",540,430,48,9,1,75,890,10,3,4,16
Full Salad,"Peppercorn Steak - with provolone, sauteed onions, peppercorn sauce",680,500,55,12,1,110,1320,16,5,6,30
"4"" Sub","French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",400,150,16,4.5,0,50,1670,40,2,5,22
"8"" Sub","French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",760,270,30,9,0,95,2510,79,4,10,42
"12"" Sub","French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",1140,410,45,14,0.5,145,3370,119,6,16,62
Sammie,"French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",400,170,19,5,0,50,1650,34,4,5,21
Half Salad,"French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",390,250,28,6,0,70,1580,17,3,11,18
Full Salad,"French Dip - with sauteed onions, swiss, horseradish sauce, side of au jus",530,310,34,9,0.5,110,1970,22,5,12,33
"4"" Sub","Chipotle Steak & Cheddar - with sauteed peppers & onions, chipotle mayo",420,200,22,6,0,50,990,36,2,3,20
"8"" Sub","Chipotle Steak & Cheddar - with sauteed peppers & onions, chipotle mayo",840,400,44,13,0,100,1960,73,4,6,39
"12"" Sub","Chipotle Steak & Cheddar - with sauteed peppers & onions, chipotle mayo",1290,610,68,19,0.5,150,2990,110,6,8,59
Sammie,"Chipotle Steak & Cheddar - with sauteed peppers & onions, chipotle mayo",440,240,26,7,0,50,980,30,4,2,19
Half Salad,"Chipotle Steak & Cheddar - with sauteed peppers & onions, chipotle mayo",510,420,47,10,0.5,70,1040,7,2,3,15
"4"" Sub","Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",400,150,17,6,0,60,1110,37,2,4,27
"8"" Sub","Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",800,300,33,12,0,125,2230,73,4,7,53
"12"" Sub","Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",1210,460,51,18,0,185,3370,109,6,10,79
Sammie,"Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",410,180,20,6,0,65,1110,30,4,3,26
Half Salad,"Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",380,260,29,8,0,75,1130,7,2,3,22
Full Salad,"Mesquite - with bacon, cheddar, lettuce, tomatoes, onions, ranch",560,340,38,12,0,130,1740,11,4,5,43
"4"" Sub","Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",400,140,16,6,0,60,1190,38,1,5,26
"8"" Sub","Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",800,290,32,12,0,120,2370,76,3,11,52
"12"" Sub","Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",1220,450,49,18,0,180,3610,114,4,17,78
Sammie,"Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",410,170,19,6,0,60,1190,32,3,6,25
Half Salad,"Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",540,420,47,10,0.5,80,1300,8,2,5,21
Full Salad,"Baja - with bacon, cheddar, onions, BBQ sauce, chipotle mayo",730,500,56,14,0.5,140,2030,15,3,9,42
"4"" Sub","Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",440,190,21,6,0,55,1110,36,2,3,27
"8"" Sub","Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",890,380,42,12,0.5,115,2220,73,3,7,54
"12"" Sub","Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",1350,580,65,18,1,175,3360,110,5,10,82
Sammie,"Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",460,220,25,6,0,60,1100,30,3,3,26
Half Salad,"Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",510,370,42,9,1,75,1130,11,2,5,24
Full Salad,"Carbonara - with bacon, provolone, sauteed mushrooms, parmesan alfredo sauce",700,460,51,13,1,125,1740,15,4,7,46
