,Name of Sandwich,Calories (kcal),Fat Calories (kcal),Fat (g),Saturated Fat (g),Total Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g)
"4"" Sub","Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",430,160,18,6,0,60,1000,40,2,6,27
"8"" Sub","Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",850,320,36,11,0.5,120,1990,80,4,12,53
"12"" Sub","Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",1300,490,55,17,1,180,3010,120,6,19,80
Sammie,"Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",440,190,21,6,0,60,980,34,4,7,26
Half Salad,"Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",470,310,35,8,0.5,75,880,17,2,12,22
Full Salad,"Honey Mustard - with bacon, swiss, lettuce, tomatoes, onions",650,390,43,12,0.5,130,1440,22,4,14,43
"4"" Sub","Southwest Chicken - with cheddar, guacamole, chipotle mayo",430,200,22,6,0,55,1000,36,3,3,22
"8"" Sub","Southwest Chicken - with cheddar, guacamole, chipotle mayo",860,400,45,12,0,105,2000,73,5,5,43
"12"" Sub","Southwest Chicken - with cheddar, guacamole, chipotle mayo",1310,630,70,19,0.5,160,3040,109,8,8,65
Sammie,"Southwest Chicken - with cheddar, guacamole, chipotle mayo",440,240,27,7,0,55,1000,30,4,2,21
Half Salad,"Southwest Chicken - with cheddar, guacamole, chipotle mayo",520,420,47,10,0.5,70,1060,7,3,3,17
Full Salad,"Southwest Chicken - with cheddar, guacamole, chipotle mayo",680,510,57,13,0.5,115,1540,13,6,4,34
"4"" Sub","Apple Harvest - with chicken, apples, pumpkin seeds, craisins, tomatoes, honey mustard",400,140,16,3,0,25,690,49,3,14,16
"8"" Sub","Apple Harvest - with chicken, apples, pumpkin seeds, craisins, tomatoes, honey mustard",790,290,32,6,0,50,1380,97,7,28,32
"12"" Sub","Apple Harvest - with chicken, apples, pumpkin seeds, craisins, tomatoes, honey mustard",1210,450,50,10,0.5,80,2100,147,10,42,47
Sammie,"Apple Harvest - with chicken, apples, pumpkin seeds, craisins, tomatoes, honey mustard",410,180,20,3.5,0,25,670,43,5,14,15
"4"" Sub","Italian Meatball - with meatballs and marinara, double portion of provolone",460,190,21,8,0,50,1010,44,4,6,26
"8"" Sub","Italian Meatball - with meatballs and marinara, double portion of provolone",930,380,43,16,0.5,100,2020,88,8,12,53
"12"" Sub","Italian Meatball - with meatballs and marinara, double portion of provolone",1390,570,64,24,1,150,3030,132,11,18,79
Sammie,"Italian Meatball - with meatballs and marinara, double portion of provolone",460,210,23,8,0,50,970,38,6,5,25
Half Salad,"Italian Meatball - with meatballs and marinara, double portion of provolone",330,190,21,7,0,50,720,17,4,7,22
Full Salad,"Italian Meatball - with meatballs and marinara, double portion of provolone",620,360,40,15,0.5,100,1350,28,8,10,43
"4"" Sub","Lobster & Seafood Salad - with lobster & seafood salad, shredded lettuce",300,100,11,5,0,35,850,40,2,3,12
"8"" Sub","Lobster & Seafood Salad - with lobster & seafood salad, shredded lettuce",610,200,22,10,0.5,70,1690,80,5,6,24
"12"" Sub","Lobster & Seafood Salad - with lobster & seafood salad, shredded lettuce",910,300,33,15,1,100,2540,120,7,10,35
Sammie,"Lobster & Seafood Salad - with lobster & seafood salad, shredded lettuce",300,120,13,5,0,35,810,34,4,3,11
Half Salad,"Lobster & Seafood Salad - with lobster & seafood salad, shredded lettuce",300,220,24,4,0,40,980,12,3,4,8
