sandwich_name,sandwich_description,restaurant_name,bread_type,sandwich_length,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,430,260,28,8,0,110,"1,590",8,2,4,35
#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,280,280,31,8,0,100,"2,380",6,6,3,49
#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,800,340,37,8,0,100,"1,980",5,5,12,51
#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,650",560,560,17,0,200,"4,760",163,12,7,98
#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,510,340,38,13,0,95,"1,230",9,3,3,32
#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,370,370,41,13,0,95,"2,020",7,7,2,47
#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,870,420,46,13,0,95,"1,620",6,6,11,48
#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,790",730,730,27,0,190,"4,040",164,14,5,93
#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,490,340,37,12,0,90,"2,230",5,1,2,30
#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,360,360,39,12,0,90,"2,800",4,4,1,40
#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,850,420,45,12,0,90,"2,620",5,5,10,46
#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,540",720,720,25,0,175,"5,600",115,9,3,80
#14 Bootlegger Club,"The Bootlegger Club® is made with hand-sliced roast beef & turkey breast, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,330,180,20,4,0,90,"1,180",5,2,3,31
