sandwich_name,sandwich_description,restaurant_name,bread_type,sandwich_length,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
#1 The Pepe,"The Pepe® is our take on the classic ham & cheese sandwich. Made with hand-sliced smoked ham and provolone cheese, topped with mayo and fresh-sliced lettuce and tomato. The #1 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,370,250,28,8,0,70,"1,060",7,2,4,21
#1 The Pepe,"The Pepe® is our take on the classic ham & cheese sandwich. Made with hand-sliced smoked ham and provolone cheese, topped with mayo and fresh-sliced lettuce and tomato. The #1 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,270,270,30,8,0,70,"1,630",5,5,3,31
#1 The Pepe,"The Pepe® is our take on the classic ham & cheese sandwich. Made with hand-sliced smoked ham and provolone cheese, topped with mayo and fresh-sliced lettuce and tomato. The #1 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,730,330,36,8,0,70,"1,440",5,5,12,37
#1 The Pepe,"The Pepe® is our take on the classic ham & cheese sandwich. Made with hand-sliced smoked ham and provolone cheese, topped with mayo and fresh-sliced lettuce and tomato. The #1 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,300",530,530,17,0,135,"3,250",120,9,7,63
#2 Big John,"The Big John® is made with hand-sliced roast beef and topped with mayo, fresh-sliced lettuce and tomato. The #2 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,270,170,20,4,0,60,650,4,2,3,17
#2 Big John,"The Big John® is made with hand-sliced roast beef and topped with mayo, fresh-sliced lettuce and tomato. The #2 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,190,190,22,4,0,60,"1,210",5,5,2,28
#2 Big John,"The Big John® is made with hand-sliced roast beef and topped with mayo, fresh-sliced lettuce and tomato. The #2 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,640,260,28,4,0,60,"1,030",5,5,10,33
#2 Big John,"The Big John® is made with hand-sliced roast beef and topped with mayo, fresh-sliced lettuce and tomato. The #2 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,110",380,380,7,0,120,"2,430",114,9,4,56
#3 Totally Tuna,"Made with house-made tuna salad and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Totally Tuna® comes topped with fresh lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,270,190,21,3,0,30,710,9,3,5,12
#3 Totally Tuna,"Made with house-made tuna salad and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Totally Tuna® comes topped with fresh lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,200,200,22,3,0,30,"1,280",6,6,4,23
#3 Totally Tuna,"Made with house-made tuna salad and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Totally Tuna® comes topped with fresh lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,630,270,29,3,0,30,"1,100",6,6,12,28
#3 Totally Tuna,"Made with house-made tuna salad and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Totally Tuna® comes topped with fresh lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,100",410,410,6,0,60,"2,560",123,11,8,45
#4 Turkey Tom,"Made with hand-sliced turkey breast and topped with mayo, fresh-sliced lettuce and tomato. The #4 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,250,160,17,3,0,50,700,5,2,3,15
#4 Turkey Tom,"Made with hand-sliced turkey breast and topped with mayo, fresh-sliced lettuce and tomato. The #4 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,170,170,19,3,0,50,"1,260",5,5,2,25
#4 Turkey Tom,"Made with hand-sliced turkey breast and topped with mayo, fresh-sliced lettuce and tomato. The #4 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,610,240,25,3,0,50,"1,080",5,5,10,31
#4 Turkey Tom,"Made with hand-sliced turkey breast and topped with mayo, fresh-sliced lettuce and tomato. The #4 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,060",350,350,5,0,95,"2,530",116,9,4,51
#5 Vito,"A tasty Italian sandwich, made with hand-sliced salami, capicola, & provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Vito® comes topped with fresh-sliced lettuce, tomato, onion, oil & vinegar and oregano-basil. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,350,230,25,11,0,85,"1,330",9,2,5,23
#5 Vito,"A tasty Italian sandwich, made with hand-sliced salami, capicola, & provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Vito® comes topped with fresh-sliced lettuce, tomato, onion, oil & vinegar and oregano-basil. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,250,250,27,11,0,85,"1,900",5,5,4,34
